NUMT = 1,,,,,,,NUMT,NUMTRIES,Peak Performance,,,,,,,,,,
NUMTRIES = 1,,,,,,,1,1,152.98,,,,,,,,,,
Peak Performance =   152.98 MegaMults/Sec,,,,,,,1,10,314.05,,,,,,,,,,
Average Performance =   152.98 MegaMults/Sec,,,,,,,1,100,326.21,,,,,,,,,,
NUMTRIES = 10,,,,,,,1,1000,315.68,,Sum of Peak Performance,Column Labels,,,,,,,
Peak Performance =   314.05 MegaMults/Sec,,,,,,,1,10000,316.79,,Row Labels,1,10,100,1000,10000,100000,500000,Grand Total
Average Performance =   290.52 MegaMults/Sec,,,,,,,1,100000,330.14,,1,152.98,314.05,326.21,315.68,316.79,330.14,311.07,2066.92
NUMTRIES = 100,,,,,,,1,500000,311.07,,4,78.66,682.82,638.03,614.29,628.36,1164.59,1151.93,4958.68
Peak Performance =   326.21 MegaMults/Sec,,,,,,,4,1,78.66,,Grand Total,231.64,996.87,964.24,929.97,945.15,1494.73,1463,7025.6
Average Performance =   312.49 MegaMults/Sec,,,,,,,4,10,682.82,,,,,,,,,,
NUMTRIES = 1000,,,,,,,4,100,638.03,,,1,10,100,1000,10000,100000,500000,
Peak Performance =   315.68 MegaMults/Sec,,,,,,,4,1000,614.29,,1,152.98,314.05,326.21,315.68,316.79,330.14,311.07,
Average Performance =   297.54 MegaMults/Sec,,,,,,,4,10000,628.36,,4,78.66,682.82,638.03,614.29,628.36,1164.59,1151.93,
NUMTRIES = 10000,,,,,,,4,100000,1164.59,,Ratio,,,,,,,,
Peak Performance =   316.79 MegaMults/Sec,,,,,,,4,500000,1151.93,,,,,,,,,,
Average Performance =   265.62 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 100000,,,,,,,,,,,,,,,,,,,
Peak Performance =   330.14 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   254.54 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 500000,,,,,,,,,,,,,,,,,,,
Peak Performance =   321.98 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   311.07 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMT = 4,,,,,,,,,,,,,,,,,,,
NUMTRIES = 1,,,,,,,,,,,,,,,,,,,
Peak Performance =    78.66 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =    78.66 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 10,,,,,,,,,,,,,,,,,,,
Peak Performance =   628.82 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   554.94 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 100,,,,,,,,,,,,,,,,,,,
Peak Performance =   638.03 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   608.36 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 1000,,,,,,,,,,,,,,,,,,,
Peak Performance =   614.29 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   584.54 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 10000,,,,,,,,,,,,,,,,,,,
Peak Performance =   628.36 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   596.02 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 100000,,,,,,,,,,,,,,,,,,,
Peak Performance =  1164.59 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =   826.38 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
NUMTRIES = 500000,,,,,,,,,,,,,,,,,,,
Peak Performance =  1151.93 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
Average Performance =  1014.16 MegaMults/Sec,,,,,,,,,,,,,,,,,,,
