 1  ;        1 ;   0.00% ;   0.37
 1  ;       10 ;  30.00% ;   3.90
 1  ;      100 ;  27.00% ;  10.61
 1  ;     1000 ;  30.00% ;   9.12
 1  ;    10000 ;  28.87% ;  10.26
 1  ;   100000 ;  29.10% ;  21.82
 1  ;   500000 ;  29.04% ;  21.82
 1  ;  1000000 ;  29.08% ;  21.75
 2  ;        1 ; 100.00% ;   0.27
 2  ;       10 ;  50.00% ;   2.55
 2  ;      100 ;  33.00% ;  11.48
 2  ;     1000 ;  31.60% ;  18.89
 2  ;    10000 ;  30.19% ;  17.74
 2  ;   100000 ;  29.30% ;  27.35
 2  ;   500000 ;  29.10% ;  41.57
 2  ;  1000000 ;  29.05% ;  41.61
 4  ;        1 ;   0.00% ;   0.24
 4  ;       10 ;   0.00% ;   2.48
 4  ;      100 ;  21.00% ;  16.01
 4  ;     1000 ;  28.90% ;  24.04
 4  ;    10000 ;  29.51% ;  35.25
 4  ;   100000 ;  29.21% ;  41.55
 4  ;   500000 ;  29.17% ;  81.02
 4  ;  1000000 ;  29.07% ;  82.30
 8  ;        1 ;   0.00% ;   0.20
 8  ;       10 ;  10.00% ;   1.87
 8  ;      100 ;  24.00% ;  16.54
 8  ;     1000 ;  28.20% ;  39.83
 8  ;    10000 ;  29.27% ;  68.50
 8  ;   100000 ;  29.16% ;  72.39
 8  ;   500000 ;  29.12% ;  97.57
 8  ;  1000000 ;  29.04% ; 146.05
12  ;        1 ;   0.00% ;   0.16
12  ;       10 ;  30.00% ;   1.67
12  ;      100 ;  31.00% ;  16.27
12  ;     1000 ;  27.80% ;  69.16
12  ;    10000 ;  28.54% ; 106.41
12  ;   100000 ;  29.07% ; 100.97
12  ;   500000 ;  29.14% ; 147.88
12  ;  1000000 ;  29.16% ; 190.11
16  ;        1 ; 100.00% ;   0.12
16  ;       10 ;  40.00% ;   1.31
16  ;      100 ;  32.00% ;  12.76
16  ;     1000 ;  29.20% ;  55.39
16  ;    10000 ;  29.00% ;  88.29
16  ;   100000 ;  28.97% ; 135.56
16  ;   500000 ;  29.04% ; 179.85
16  ;  1000000 ;  29.00% ; 227.69
20  ;        1 ;   0.00% ;   0.10
20  ;       10 ;  10.00% ;   1.21
20  ;      100 ;  31.00% ;  13.35
20  ;     1000 ;  28.90% ;  67.13
20  ;    10000 ;  28.69% ; 112.01
20  ;   100000 ;  29.11% ; 115.50
20  ;   500000 ;  28.99% ; 157.88
20  ;  1000000 ;  29.00% ; 217.08
24  ;        1 ; 100.00% ;   0.09
24  ;       10 ;  40.00% ;   1.06
24  ;      100 ;  36.00% ;   9.04
24  ;     1000 ;  28.20% ;  59.66
24  ;    10000 ;  29.02% ; 121.84
24  ;   100000 ;  29.23% ; 138.85
24  ;   500000 ;  29.11% ; 178.82
24  ;  1000000 ;  29.11% ; 228.85
32  ;        1 ;   0.00% ;   0.09
32  ;       10 ;  10.00% ;   0.90
32  ;      100 ;  23.00% ;   0.02
32  ;     1000 ;  29.10% ;   0.28
32  ;    10000 ;  28.56% ;   4.45
32  ;   100000 ;  29.14% ; 197.57
32  ;   500000 ;  29.13% ; 225.55
32  ;  1000000 ;  29.10% ; 269.67
