1,64,7.756278,2.734302
2,64,7.756265,3.838536
4,64,7.756263,7.515770
8,64,7.756263,14.409668
16,64,7.756260,16.433922
32,64,7.756261,11.110105
48,64,7.756258,8.599466
1,128,7.757516,3.635659
2,128,7.757497,3.843673
4,128,7.757505,7.636626
8,128,7.757504,14.848634
16,128,7.757510,1.520027
32,128,7.757509,16.752265
48,128,7.757508,15.897414
1,256,7.757596,3.581431
2,256,7.757652,3.868002
4,256,7.757625,7.621182
8,256,7.757638,15.226814
16,256,7.757640,21.322861
32,256,7.757640,23.067279
48,256,7.757639,25.013571
1,512,7.758035,3.123161
2,512,7.757829,7.024592
4,512,7.757772,9.647327
8,512,7.757812,23.937626
16,512,7.757807,25.129000
32,512,7.757810,24.115913
48,512,7.757812,22.720800
1,1024,7.755616,3.010245
2,1024,7.755906,6.647231
4,1024,7.757710,13.358366
8,1024,7.757838,22.481335
16,1024,7.757925,25.684669
32,1024,7.757843,28.989109
48,1024,7.757845,20.901778
1,3072,7.833665,2.891799
2,3072,7.732983,6.790337
4,3072,7.740269,13.361565
8,3072,7.757365,27.607528
16,3072,7.759023,24.778755
32,3072,7.757791,28.922636
48,3072,7.757703,31.418019
1,4096,7.554255,3.527618
2,4096,7.623755,6.944496
4,4096,7.753710,13.893966
8,4096,7.760605,27.192308
16,4096,7.757434,25.023326
32,4096,7.756821,31.430190
48,4096,7.757462,35.769357
1,8196,4.000000,3.434769
2,8196,7.332497,7.042286
4,8196,7.662019,13.913857
8,8196,7.598830,25.499555
16,8196,7.753201,31.979718
32,8196,7.757722,40.883805
48,8196,7.754201,42.955698
