1,64,7.756278,1.505841,,,,64,128,256,512,1024,3072,4096,8196
2,64,7.756265,3.846039,,,1,1.505841,3.520033,3.519351,2.446416,2.89445,,,
4,64,7.756262,7.508441,,,2,3.846039,6.964074,3.824829,4.91557,6.518806,,,
8,64,7.756264,13.510054,,,4,7.508441,7.51797,6.92454,11.092612,11.596401,,,
16,64,7.756262,17.521697,,,8,13.510054,14.956567,14.866493,14.853049,18.465758,,,
32,64,7.756259,7.815994,,,16,17.521697,17.326415,17.103579,21.926592,23.600386,,,
48,64,7.756259,7.198538,,,32,7.815994,16.322628,18.663659,24.656882,26.677197,,,
1,128,7.757516,3.520033,,,48,7.198538,14.435731,19.924409,31.63948,22.232226,,,
2,128,7.757497,6.964074,,,,,,,,,,,
4,128,7.757506,7.51797,,,,,,,,,,,
8,128,7.757504,14.956567,,,,,,,,,,,
16,128,7.757509,17.326415,,,,,,,,,,,
32,128,7.75751,16.322628,,,,,,,,,,,
48,128,7.757508,14.435731,,,,,,,,,,,
1,256,7.757596,3.519351,,,,,,,,,,,
2,256,7.757652,3.824829,,,,,,,,,,,
4,256,7.757626,6.92454,,,,,,,,,,,
8,256,7.757638,14.866493,,,,,,,,,,,
16,256,7.75764,17.103579,,,,,,,,,,,
32,256,7.757639,18.663659,,,,,,,,,,,
48,256,7.75764,19.924409,,,,,,,,,,,
1,512,7.758035,2.446416,,,,,,,,,,,
2,512,7.757829,4.91557,,,,,,,,,,,
4,512,7.757772,11.092612,,,,,,,,,,,
8,512,7.757812,14.853049,,,,,,,,,,,
16,512,7.757807,21.926592,,,,,,,,,,,
32,512,7.757812,24.656882,,,,,,,,,,,
48,512,7.757812,31.63948,,,,,,,,,,,
1,1024,7.755616,2.89445,,,,,,,,,,,
2,1024,7.755906,6.518806,,,,,,,,,,,
4,1024,7.75771,11.596401,,,,,,,,,,,
8,1024,7.757838,18.465758,,,,,,,,,,,
16,1024,7.757924,23.600386,,,,,,,,,,,
32,1024,7.757842,26.677197,,,,,,,,,,,
48,1024,7.757845,22.232226,,,,,,,,,,,
