NMB,LOCAL_SIZE,GigaMultsPerSecond,NUM_WORK_GROUPS,,,,,,,,,,,,,
1024,8,0.015,128,,,,,,,,,,,,,
1024,16,0.019,64,,,,,,,,8,16,32,128,256,512
1024,32,0.015,32,,,,,,,1024,0.015,0.019,0.015,0.021,0.017,0.018
1024,128,0.021,8,,,,,,,4096,0.051,0.051,0.069,0.06,0.065,0.063
1024,256,0.017,4,,,,,,,16384,0.202,0.266,0.211,0.236,0.254,0.235
1024,512,0.018,2,,,,,,,65536,0.697,0.92,0.928,0.789,0.801,0.841
4096,8,0.051,512,,,,,,,262144,1.752,2.815,2.563,4.242,3.535,4.027
4096,16,0.051,256,,,,,,,1048576,2.711,4.118,6.99,9.007,9.364,10.37
4096,32,0.069,128,,,,,,,2097152,2.83,5.081,8.322,12.828,14.05,12.245
4096,128,0.06,32,,,,,,,4194304,2.935,5.555,9.41,15.793,16.386,16.1
4096,256,0.065,16,,,,,,,8388608,3.012,5.828,10.777,19.164,18.629,18.209
4096,512,0.063,8,,,,,,,,,,,,,
16384,8,0.202,2048,,,,,,,,,,,,,
16384,16,0.266,1024,,,,,,,,,,,,,
16384,32,0.211,512,,,,,,,,,,,,,
16384,128,0.236,128,,,,,,,,,,,,,
16384,256,0.254,64,,,,,,,,,,,,,
16384,512,0.235,32,,,,,,,,,,,,,
65536,8,0.697,8192,,,,,,,,,,,,,
65536,16,0.92,4096,,,,,,,,,,,,,
65536,32,0.928,2048,,,,,,,,,,,,,
65536,128,0.789,512,,,,,,,,,,,,,
65536,256,0.801,256,,,,,,,,,,,,,
65536,512,0.841,128,,,,,,,,,,,,,
262144,8,1.752,32768,,,,,,,,,,,,,
262144,16,2.815,16384,,,,,,,,,,,,,
262144,32,2.563,8192,,,,,,,,,,,,,
262144,128,4.242,2048,,,,,,,,,,,,,
262144,256,3.535,1024,,,,,,,,,,,,,
262144,512,4.027,512,,,,,,,,,,,,,
1048576,8,2.711,131072,,,,,,,,,,,,,
1048576,16,4.118,65536,,,,,,,,,,,,,
1048576,32,6.99,32768,,,,,,,,,,,,,
1048576,128,9.007,8192,,,,,,,,,,,,,
1048576,256,9.364,4096,,,,,,,,,,,,,
1048576,512,10.37,2048,,,,,,,,,,,,,
2097152,8,2.83,262144,,,,,,,,,,,,,
2097152,16,5.081,131072,,,,,,,,,,,,,
2097152,32,8.322,65536,,,,,,,,,,,,,
2097152,128,12.828,16384,,,,,,,,,,,,,
2097152,256,14.05,8192,,,,,,,,,,,,,
2097152,512,12.245,4096,,,,,,,,,,,,,
4194304,8,2.935,524288,,,,,,,,,,,,,
4194304,16,5.555,262144,,,,,,,,,,,,,
4194304,32,9.41,131072,,,,,,,,,,,,,
4194304,128,15.793,32768,,,,,,,,,,,,,
4194304,256,16.386,16384,,,,,,,,,,,,,
4194304,512,16.1,8192,,,,,,,,,,,,,
8388608,8,3.012,1048576,,,,,,,,,,,,,
8388608,16,5.828,524288,,,,,,,,,,,,,
8388608,32,10.777,262144,,,,,,,,,,,,,
8388608,128,19.164,65536,,,,,,,,,,,,,
8388608,256,18.629,32768,,,,,,,,,,,,,
8388608,512,18.209,16384,,,,,,,,,,,,,
